Type;Committee;Reference;Vote;Result;Status;Opening date;Closing date;Closed on;Vienna agreement;Work Item ID;Work Item Number;Role;Title;URL;Note
"SR";"CEN/TC 133";"EN 15622:2010";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"27677";"00133148";"Voter";"Copper and copper alloys - Determination of lead content - Flame atomic absorption spectrometric method (FAAS)";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177151";""
"SR";"CEN/TC 133";"EN 15915:2010";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"32443";"00133176";"Voter";"Copper and copper alloys - Determination of silver content - Flame atomic absorption spectrometric method (FAAS)";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177248";""
"SR";"CEN/TC 133";"EN 15916-2:2010";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"32444";"00133177";"Voter";"Copper and copper alloys - Determination of tellurium content - Part 2: Medium tellurium content - Flame atomic absorption spectrometric method (FAAS)";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177249";""
"SRTS";"CEN/TC 136";"CEN/TS 17676:2022";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"73488";"00136468";"Voter";"Guidelines for the safe operation of fitness centres during an infectious outbreak";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=177719";""
"SR";"CEN/TC 136";"EN 13451-1:2020+A1:2024";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"80211";"00136516";"Voter";"Swimming pool equipment - Part 1: General safety requirements and test methods for equipment installed in pools for public use";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177636";""
"SR";"CEN/TC 137";"EN 17289-1:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66732";"00137077";"Voter";"Characterization of bulk materials - Determination of a size-weighted fine fraction and crystalline silica content - Part 1: General information and choice of test methods";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177450";""
"SR";"CEN/TC 137";"EN 17289-2:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66733";"00137078";"Voter";"Characterization of bulk materials - Determination of a size-weighted fine fraction and crystalline silica content - Part 2: Calculation method";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177492";""
"SR";"CEN/TC 137";"EN 17289-3:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66734";"00137079";"Voter";"Characterization of bulk materials - Determination of a size-weighted fine fraction and crystalline silica content - Part 3: Sedimentation method";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177451";""
"SR";"CEN/TC 138";"EN 1330-1:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"40626";"00138204";"Voter";"Non destructive testing - Terminology - Part 1: List of general terms";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177388";""
"SR";"CEN/TC 138";"EN 15305:2008";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"21212";"00138097";"Voter";"Non-destructive Testing - Test Method for Residual Stress analysis by X-ray Diffraction";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177139";""
"SR";"CEN/TC 139";"EN 1062-1:2004";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"5017";"00139167";"Voter";"Paints and varnishes - Coating materials and coating systems for exterior masonry and concrete - Part 1: Classification";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177205";""
"SR";"CEN/TC 139";"EN 1062-7:2004";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"4920";"00139070";"Voter";"Paints and varnishes - Coating materials and coating systems for exterior masonry and concrete - Part 7: Determination of crack bridging properties";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177177";""
"SR";"CEN/TC 139";"EN 16492:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"38751";"00139475";"Voter";"Paints and varnishes - Evaluation of the surface disfigurement caused by fungi and algae on coatings";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177389";""
"SR";"CEN/TC 139";"EN 16566:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"38220";"00139468";"Voter";"Paints and varnishes - Fillers for internal and/or external works - Adaptation of fillers to European standards";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177406";""
"SR";"CEN/TC 142";"EN 847-3:2013";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"33936";"00142126";"Voter";"Tools for woodworking - Safety requirements - Part 3: Clamping devices";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177364";""
"SR";"CEN/TC 147";"EN 13155:2020+A1:2025";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"81772";"00147206";"Voter";"Crane - Safety - Non-fixed load lifting attachments";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177617";""
"SR";"CEN/TC 147";"EN 17076:2020+A1:2025";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"81773";"00147207";"Voter";"Tower cranes - Anti-collision systems - Safety requirements";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177618";""
"SR";"CEN/TC 151";"EN 15571:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66758";"00151477";"Voter";"Machines and plants for mining and tooling of natural stone - Safety - Requirements for surface-finishing machines";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177522";""
"SR";"CEN/TC 151";"EN 16564:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66759";"00151478";"Voter";"Machines and plants for mining and tooling of natural stone - Safety - Requirements for bridge type sawing/milling machines, included numerical control (NC/CNC) versions";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177523";""
"SR";"CEN/TC 153";"EN 1672-2:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"59736";"00153186";"Voter";"Food processing machinery - Basic concepts - Part 2: Hygiene and cleanability requirements";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177465";""
"SR";"CEN/TC 153";"EN 1673:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"65015";"00153201";"Voter";"Food processing machinery - Rotary rack ovens - Safety and hygiene requirements";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177519";""
"SR";"CEN/TC 153";"EN 1974:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"39739";"00153178";"Voter";"Food processing machinery - Slicing machines - Safety and hygiene requirements";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177382";""
"SR";"CEN/TC 154";"EN 1367-2:2009";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"28857";"00154113";"Voter";"Tests for thermal and weathering properties of aggregates - Part 2: Magnesium sulfate test";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177217";""
"SR";"CEN/TC 154";"EN 932-6:1999";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"5699";"00154007";"Voter";"Tests for general properties of aggregates - Part 6: Definitions of repeatability and reproducibility";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177160";""
"SRTS";"CEN/TC 155";"CEN/TS 17152-3:2022";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"71456";"00155962";"Voter";"Plastics piping systems for non-pressure underground conveyance and storage of non-potable water - Boxes used for infiltration, attenuation and storage systems - Part 3: Conformity assessment scheme";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=177740";""
"SR";"CEN/TC 155";"EN 1447:2009+A1:2010";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"35736";"00155739";"Voter";"Plastics piping systems - Glass-reinforced thermosetting plastics (GRP) pipes - Determination of long-term resistance to internal pressure";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177319";""
"SR";"CEN/TC 155";"EN 1716:1997";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"6191";"00155414";"Voter";"Plastics piping systems - Polyethylene (PE) tapping tees - Test method for impact resistance of an assembled tapping tee";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177182";""
"SR";"CEN/TC 156";"EN 13141-5:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"61395";"00156228";"Voter";"Ventilation for buildings - Performance testing of components/products for residential ventilation - Part 5: Cowls, assisted cowls and roof outlet terminal devices";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177486";""
"SR";"CEN/TC 159";"EN 13819-1:2020+A1:2024";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"79849";"00159070";"Voter";"Hearing protectors - Testing - Part 1: Physical test methods";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177541";""
"SR";"CEN/TC 159";"EN 13819-2:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"41900";"00159043";"Voter";"Hearing protectors - Testing - Part 2: Acoustic test methods";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177464";""
"SR";"CEN/TC 159";"EN 352-10:2020+A1:2024";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"79402";"00159066";"Voter";"Hearing protectors - Safety requirements - Part 10: Entertainment audio earplugs";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177619";""
"SR";"CEN/TC 159";"EN 352-1:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66760";"00159048";"Voter";"Hearing protectors - General requirements - Part 1: Earmuffs";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177524";""
"SR";"CEN/TC 159";"EN 352-2:2020+A1:2024";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"79848";"00159069";"Voter";"Hearing protectors - General requirements - Part 2: Earplugs";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177656";""
"SR";"CEN/TC 159";"EN 352-3:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66762";"00159050";"Voter";"Hearing protectors - General requirements - Part 3: Earmuffs attached to head protection and/or face protection devices";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177536";""
"SR";"CEN/TC 159";"EN 352-4:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"41896";"00159041";"Voter";"Hearing protectors - Safety requirements - Part 4: Level-dependent earmuffs";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177417";""
"SR";"CEN/TC 159";"EN 352-5:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"41897";"00159042";"Voter";"Hearing protectors - Safety requirements - Part 5: Active noise reduction earmuffs";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177418";""
"SR";"CEN/TC 159";"EN 352-6:2020+A1:2024";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"79400";"00159065";"Voter";"Hearing protectors - Safety requirements - Part 6: Earmuffs with safety-related audio input";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177620";""
"SR";"CEN/TC 159";"EN 352-7:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"41903";"00159046";"Voter";"Hearing protectors - Safety requirements - Part 7: Level-dependent earplugs";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177423";""
"SR";"CEN/TC 159";"EN 352-8:2020+A1:2024";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"79403";"00159067";"Voter";"Hearing protectors - Safety requirements - Part 8: Entertainment audio earmuffs";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177616";""
"SR";"CEN/TC 159";"EN 352-9:2020+A1:2024";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"79406";"00159068";"Voter";"Hearing protectors - Safety requirements - Part 9: Earplugs with safety-related audio input";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177540";""
"SR";"CEN/TC 164";"EN 14368:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"40512";"00164554";"Voter";"Products used for treatment of water intended for human consumption - Manganese dioxide coated limestone";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177479";""
"SR";"CEN/TC 164";"EN 14369:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"40508";"00164551";"Voter";"Products used for treatment of water intended for human consumption - Iron-coated granular activated alumina";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177463";""
"SR";"CEN/TC 165";"EN 1123-3:2004";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"7276";"00165132";"Voter";"Pipes and fittings of longitudinally welded hot-dip galvanized steel pipes with spigot and socket for waste water systems - Part 3: Dimensions and special requirements for vacuum drainage systems and for drainage systems in ship-building";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177178";""
"SR";"CEN/TC 165";"EN 1124-3:2008";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"26743";"00165192";"Voter";"Pipes and fittings of longitudinally welded stainless steel pipes with spigot and socket for waste water systems - Part 3: System X - Dimensions";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177358";""
"SR";"CEN/TC 165";"EN 12050-1:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"26746";"00165195";"Voter";"Wastewater lifting plants for buildings and sites - Part 1: Lifting plants for wastewater containing faecal matter";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177359";""
"SR";"CEN/TC 165";"EN 12050-2:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"26747";"00165196";"Voter";"Wastewater lifting plants for buildings and sites - Part 2: Lifting plants for faecal-free wastewater";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177360";""
"SR";"CEN/TC 165";"EN 12050-3:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"26748";"00165197";"Voter";"Wastewater lifting plants for buildings and sites - Part 3: Lifting plants for limited applications";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177361";""
"SR";"CEN/TC 165";"EN 12050-4:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"26749";"00165198";"Voter";"Wastewater lifting plants for buildings and sites - Part 4: Non-return valves for faecal-free wastewater and wastewater containing faecal matter";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177362";""
"SR";"CEN/TC 165";"EN 1253-1:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"31248";"00165217";"Voter";"Gullies for buildings - Part 1: Trapped floor gullies with a depth water seal of at least 50 mm";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177224";""
"SR";"CEN/TC 165";"EN 1253-2:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"31249";"00165218";"Voter";"Gullies for buildings - Part 2: Roof drains and floor gullies without trap";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177400";""
"SR";"CEN/TC 165";"EN 14457:2004";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"7300";"00165156";"Voter";"General requirements for components specifically designed for use in trenchless construction of drains and sewers";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177179";""
"SR";"CEN/TC 165";"EN 16506:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"25635";"00165189";"Voter";"Systems for renovation of drains and sewers - Lining with a rigidly anchored plastics inner layer (RAPL)";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177250";""
"SR";"CEN/TC 165";"EN 1825-1:2004";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"7196";"00165052";"Voter";"Grease separators - Part 1: Principles of design, performance and testing, marking and quality control";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177176";""
"SR";"CEN/TC 168";"EN 12385-3:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"65341";"00168138";"Voter";"Steel wire ropes - Safety - Part 3: Information for use and maintenance";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177447";""
"SR";"CEN/TC 169";"EN 14255-1:2005";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"20479";"00169021";"Voter";"Measurement and assessment of personal exposures to incoherent optical radiation - Part 1: Ultraviolet radiation emitted by artificial sources in the workplace";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177174";""
"SR";"CEN/TC 169";"EN 14255-3:2008";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"26371";"00169036";"Voter";"Measurement and assessment of personal exposures to incoherent optical radiation - Part 3: UV-Radiation emitted by the sun";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177402";""
"SR";"CEN/TC 169";"EN 1837:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66686";"00169079";"Voter";"Safety of machinery - Integral lighting of machines";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177449";""
"SR";"CEN/TC 172";"EN 14719:2005";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"22924";"00172108";"Voter";"Pulp, paper and board - Determination of the Diisopropylnaphthalene (DIPN) content by solvent extraction";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177242";""
"SR";"CEN/TC 172";"EN 643:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"38270";"00172159";"Voter";"Paper and board - European list of standard grades of paper and board for recycling";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177404";""
"SR";"CEN/TC 172";"EN 920:2000";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"7692";"00172082";"Voter";"Paper and board intended to come into contact with foodstuffs - Determination of dry matter content in an aqueous extract";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177161";""
"SR";"CEN/TC 181";"EN 1596:1998";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"7980";"00181010";"Voter";"Specification for dedicated liquefied petroleum gas appliances - Mobile and portable non-domestic forced convection direct fired air heaters";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177157";""
"SR";"CEN/TC 181";"EN 461:1999";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"7974";"00181004";"Voter";"Specification for dedicated liquefied petroleum gas appliances - Flueless non-domestic space heaters not exceeding 10 kW";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177156";""
"SR";"CEN/TC 187";"EN 993-10:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"69695";"00187148";"Voter";"Methods of test for dense shaped refractory products - Part 10: Determination of permanent change in dimensions on heating";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177494";""
"SR";"CEN/TC 189";"EN 12225:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"68521";"00189263";"Voter";"Geosynthetics - Method for determining the microbiological resistance by a soil burial test";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177538";""
"SR";"CEN/TC 191";"EN 14972-1:2020+A1:2025";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"81546";"00191408";"Voter";"Fixed firefighting systems - Water mist systems - Part 1: Design, installation, inspection and maintenance";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177657";""
"SR";"CEN/TC 193";"EN 1067:2005";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"21268";"00193165";"Voter";"Adhesives - Examination and preparation of samples for testing";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177244";""
"SR";"CEN/TC 193";"EN 12024:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12691";"00193272";"Voter";"Self-adhesive tapes - Measurement of resistance to elevated temperature and humidity";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177395";""
"SR";"CEN/TC 193";"EN 12025:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12692";"00193273";"Voter";"Self-adhesive tapes - Measurement of tear resistance by the pendulum";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177438";""
"SR";"CEN/TC 193";"EN 12026:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12693";"00193274";"Voter";"Self-adhesive tapes - Measurement of the unwinding force at high speed";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177439";""
"SR";"CEN/TC 193";"EN 12027:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12694";"00193275";"Voter";"Self-adhesive tapes - Measurement of flame resistance";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177456";""
"SR";"CEN/TC 193";"EN 12028:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12695";"00193276";"Voter";"Self-adhesive tapes - Measurement of elongation under static load";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177457";""
"SR";"CEN/TC 193";"EN 12032:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12699";"00193280";"Voter";"Self-adhesive tapes - Measurement of bonding of thermosetting adhesive tapes during curing";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177458";""
"SR";"CEN/TC 193";"EN 12033:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12700";"00193281";"Voter";"Self-adhesive tapes - Measurement of bonding of thermosetting adhesive tapes after curing";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177459";""
"SR";"CEN/TC 193";"EN 12034:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12701";"00193282";"Voter";"Self-adhesive tapes - Measurement of the length of a roll of adhesive tape";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177476";""
"SR";"CEN/TC 193";"EN 12035:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12702";"00193283";"Voter";"Self-adhesive tapes - Flagging of adhesive tape";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177441";""
"SR";"CEN/TC 193";"EN 12036:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12703";"00193284";"Voter";"Self-adhesive tapes - Solvent penetration into adhesive masking tapes";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177460";""
"SR";"CEN/TC 193";"EN 1241:1998";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"8888";"00193045";"Voter";"Adhesives - Determination of acid value";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177216";""
"SR";"CEN/TC 193";"EN 1244:1998";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"8892";"00193049";"Voter";"Adhesives - Determination of the colour and/or colour changes of adhesive coats under the influence of light";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177206";""
"SR";"CEN/TC 193";"EN 1246:1998";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"8904";"00193061";"Voter";"Adhesives - Determination of ash and sulphated ash";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177207";""
"SR";"CEN/TC 193";"EN 12481:2000";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12682";"00193268";"Voter";"Self adhesive tapes - Terminology";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177440";""
"SR";"CEN/TC 193";"EN 12961:2001";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"8938";"00193095";"Voter";"Adhesives for leather and footwear materials - Determination of optimum activation temperatures and maximum activation life of solvent-based and dispersion adhesives";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177137";""
"SR";"CEN/TC 193";"EN 12964:2001";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"8962";"00193119";"Voter";"Adhesives for leather and footwear materials - Lasting adhesives - Testing heat resistance of bonds at increasing temperature";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177208";""
"SR";"CEN/TC 193";"EN 1392:2006";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"23822";"00193182";"Voter";"Adhesives for leather and footwear materials-Solvent-based and dispersion adhesives-Testing of bond strength under specified conditions";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177186";""
"SR";"CEN/TC 193";"EN 14258:2004";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"8981";"00193138";"Voter";"Structural adhesives - Mechanical behaviour of bonded joints subjected to short and long terms exposure at specified conditions of temperature";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177209";""
"SR";"CEN/TC 193";"EN 14444:2005";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"8997";"00193154";"Voter";"Structural adhesives - Qualitative assessment of durability of bonded assemblies - Wedge rupture test (ISO 10354:1992 modified)";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177180";""
"SR";"CEN/TC 193";"EN 14510:2005";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"21356";"00193170";"Voter";"Adhesives for leather and footwear materials - Solvent-based and dispersion adhesives - Determination of sole positioning tack (spotting tack)";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177141";""
"SR";"CEN/TC 193";"EN 15062:2006";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"23823";"00193183";"Voter";"Adhesives for leather and footwear materials - Solvent-based and dispersion adhesives - Testing ageing of bonds under specified conditions";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177162";""
"SR";"CEN/TC 193";"EN 15274:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"40150";"00193296";"Voter";"General purpose adhesives for structural assembly - Requirements and test methods";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177462";""
"SR";"CEN/TC 193";"EN 15275:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"40146";"00193292";"Voter";"Structural adhesives - Characterisation of anaerobic adhesives for co-axial metallic assembly in building and civil engineering structures";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177461";""
"SR";"CEN/TC 193";"EN 1902:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"40148";"00193294";"Voter";"Adhesives - Test method for adhesives for floor and wall coverings - Shear creep test";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177442";""
"SR";"CEN/TC 193";"EN 1944:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12688";"00193269";"Voter";"Self-adhesive tapes - Measurement of unwind adhesion at low speed";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177393";""
